graph_file,arbres,arbustes,prairies,temp,canop,eaux,ombres
./output_data/network/graph/final_network_all_1.gpkg,1.0,1.0,1.0,1.0,1.0,1.0,
./output_data/network/graph/final_network_all_1.gpkg,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./output_data/network/graph/final_network_P1O8At2Ar10C6E7Ca8.gpkg,10.0,2.0,1.0,6.0,8.0,7.0,8.0
./output_data/network/graph/final_network_P1O8At2Ar10C6E7Ca8.gpkg,10.0,2.0,1.0,6.0,8.0,7.0,8.0
./output_data/network/graph/final_network_P1O1At1Ar10C1E1Ca1.gpkg,10.0,1.0,1.0,1.0,1.0,1.0,1.0
./output_data/network/graph/final_network_P1O1At1Ar100C1E1Ca1.gpkg,100.0,1.0,1.0,1.0,1.0,1.0,1.0
./output_data/network/graph/final_network_P1O8At1Ar10C1E1Ca1.gpkg,10.0,1.0,1.0,1.0,1.0,1.0,8.0
./output_data/network/graph/final_network_P0_01O0_01At0_01Ar10C0_01E0_01Ca0_01.gpkg,10.0,0.01,0.01,0.01,0.01,0.01,0.01
./output_data/network/graph/final_network_P0_01O0_01At0_01Ar100C0_01E0_01Ca0_01.gpkg,100.0,0.01,0.01,0.01,0.01,0.01,0.01
./output_data/network/graph/final_network_P0_01O9At0_01Ar10C0_01E0_01Ca0_01.gpkg,10.0,0.01,0.01,0.01,0.01,0.01,9.0
./output_data/network/graph/final_network_P0_01O7At0_01Ar10C0_01E0_01Ca0_01.gpkg,10.0,0.01,0.01,0.01,0.01,0.01,7.0
./output_data/network/graph/final_network_P0_01O5At0_01Ar10C0_01E0_01Ca0_01.gpkg,10.0,0.01,0.01,0.01,0.01,0.01,5.0
./output_data/network/graph/final_network_P0_01O3At0_01Ar10C0_01E0_01Ca0_01.gpkg,10.0,0.01,0.01,0.01,0.01,0.01,3.0
./output_data/network/graph/final_network_P0_01O1At0_01Ar10C0_01E0_01Ca0_01.gpkg,10.0,0.01,0.01,0.01,0.01,0.01,1.0
./output_data/network/graph/final_network_P0_01O10At0_01Ar0_01C0_01E0_01Ca0_01.gpkg,0.01,0.01,0.01,0.01,0.01,0.01,10.0
./output_data/network/graph/final_network_P0_01O0_01At0_01Ar0_01C0_01E0_01Ca10.gpkg,0.01,0.01,0.01,0.01,10.0,0.01,0.01
./output_data/network/graph/final_network_P0_01O10At0_01Ar10C0_01E0_01Ca10.gpkg,10.0,0.01,0.01,0.01,10.0,0.01,0.01
./output_data/network/graph/final_network_P0_01O10At0_01Ar0_01C0_01E0_01Ca0_01.gpkg,0.01,0.01,0.01,0.01,0.01,0.01,10.0
./output_data/network/graph/final_network_P0_01O0_01At0_01Ar0_01C0_01E0_01Ca10.gpkg,0.01,0.01,0.01,0.01,10.0,0.01,0.01
./output_data/network/graph/final_network_P0_01O10At0_01Ar10C0_01E0_01Ca10.gpkg,10.0,0.01,0.01,0.01,10.0,0.01,0.01
./output_data/network/graph/final_network_P0_01O0_01At0_01Ar0_01C10E0_01Ca0_01.gpkg,0.01,0.01,0.01,10.0,0.01,0.01,0.01
./output_data/network/graph/final_network_P0_01O0_01At0_01Ar10C0_01E0_01Ca9.gpkg,10.0,0.01,0.01,0.01,9.0,0.01,0.01
./output_data/network/graph/final_network_P0_01O0_01At0_01Ar10C0_01E0_01Ca7.gpkg,10.0,0.01,0.01,0.01,7.0,0.01,0.01
./output_data/network/graph/final_network_P0_01O0_01At0_01Ar10C0_01E0_01Ca5.gpkg,10.0,0.01,0.01,0.01,5.0,0.01,0.01
./output_data/network/graph/final_network_P0_01O0_01At0_01Ar10C0_01E0_01Ca3.gpkg,10.0,0.01,0.01,0.01,3.0,0.01,0.01
./output_data/network/graph/final_network_P0_01O0_01At0_01Ar10C0_01E0_01Ca1.gpkg,10.0,0.01,0.01,0.01,1.0,0.01,0.01
